,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"(6, 0, 51, 3, 0, 0)","(9, 1, 40, 3, 1, 1)","(8, 2, 51, 2, 0, 1)","(9, 3, 74, 3, 1, 0)","(8, 3, 88, 3, 0, 0)","(9, 5, 88, 3, 1, 0)","(9, 5, 60, 3, 0, 0)","(4, 8, 40, 3, 0, 1)","(9, 9, 26, 3, 0, 0)","(8, 10, 65, 2, 0, 0)",,,,,
1,0,4,2,4,1,4,3,0,4,0,,,,,
2,5.348363932200998,30.01498296573873,21.17269461241184,22.96647370172328,-3.4540797968328443,5.073318341433485,24.917904861182887,8.469051719072661,14.669851482426122,7.976561961017027,,,,,
0,"(6, 1, 60, 3, 0, 1)","(9, 2, 39, 3, 0, 1)","(9, 3, 45, 3, 0, 0)","(9, 3, 36, 3, 1, 0)","(9, 4, 24, 3, 0, 0)","(9, 5, 18, 3, 0, 0)","(4, 6, 51, 2, 0, 0)","(9, 8, 45, 3, 0, 1)","(4, 9, 60, 3, 0, 1)","(9, 10, 58, 3, 1, 0)",,,,,
1,1,1,3,4,1,3,2,3,1,1,,,,,
2,5.224456593008572,-2.8083988549300765,11.92185109089191,17.229173504686905,13.3088174672091,15.347670674943268,8.990381163260704,17.445592580024666,0.8628770508485335,5.771756319316726,,,,,
0,"(7, 1, 11, 3, 0, 0)","(4, 3, 74, 3, 1, 0)","(9, 6, 18, 3, 0, 0)","(9, 7, 41, 3, 0, 0)","(4, 8, 27, 3, 0, 0)","(3, 9, 45, 3, 0, 2)","(3, 9, 77, 3, 0, 1)","(9, 10, 53, 3, 0, 0)",,,,,,,
1,3,1,4,3,3,3,1,0,,,,,,,
2,27.253413625635574,-9.106689340741704,17.201792465404324,32.61095420115211,16.29826684047065,11.669561255269716,-0.6181019896800433,9.069984132769584,,,,,,,
0,"(7, 1, 32, 3, 0, 0)","(6, 2, 73, 3, 0, 1)","(9, 3, 73, 3, 1, 0)","(9, 3, 13, 3, 0, 0)","(9, 4, 13, 3, 0, 0)","(8, 5, 88, 3, 0, 0)","(9, 6, 40, 3, 0, 1)","(4, 8, 40, 3, 0, 0)","(4, 8, 59, 3, 0, 1)","(4, 9, 40, 3, 1, 1)","(3, 9, 37, 3, 0, 1)",,,,
1,4,2,3,4,1,1,3,2,3,2,0,,,,
2,34.687030951807145,-6.831090046210472,9.036778287346657,11.13167748291304,34.00799156689916,10.641034229825866,9.232121825169315,10.12556574059143,18.079617473881562,27.607183696877552,16.263250517742016,,,,
0,"(6, 1, 40, 3, 0, 0)","(6, 1, 40, 3, 1, 1)","(9, 3, 53, 3, 0, 0)","(9, 4, 27, 3, 0, 0)","(9, 5, 21, 3, 1, 0)","(4, 8, 73, 3, 0, 1)","(9, 9, 23, 3, 0, 0)","(8, 11, 51, 3, 0, 1)",,,,,,,
1,1,2,1,0,3,1,1,3,,,,,,,
2,5.0330066843030155,18.881270829010365,11.90519772160769,22.267405189817683,23.842753613987902,3.57046586925782,35.017750769174185,12.902483825276523,,,,,,,
0,"(7, 1, 37, 2, 0, 0)","(9, 2, 17, 3, 0, 0)","(9, 3, 41, 3, 0, 0)","(4, 5, 72, 3, 0, 0)","(3, 5, 58, 3, 1, 0)","(3, 6, 39, 3, 1, 1)","(9, 7, 36, 3, 1, 1)","(9, 7, 34, 3, 0, 0)","(9, 8, 59, 3, 1, 0)","(9, 8, 40, 3, 0, 1)","(9, 9, 42, 3, 1, 0)","(9, 10, 77, 3, 0, 2)",,,
1,0,0,3,3,3,2,1,1,1,0,0,1,,,
2,15.312639473202221,10.513936082468476,35.626722852889905,23.736479357515933,14.172691644326482,-6.3631700798125514,7.389499225715549,5.522593585157636,12.547794756466203,11.699011333611727,9.635153537074402,33.376136801094205,,,
0,"(6, 1, 71, 3, 0, 1)","(6, 1, 77, 3, 1, 0)","(6, 2, 53, 3, 0, 0)","(9, 3, 45, 3, 0, 0)","(9, 4, 45, 3, 0, 0)","(9, 5, 61, 1, 0, 0)","(4, 6, 40, 3, 0, 0)","(4, 6, 43, 3, 0, 0)","(4, 7, 88, 3, 0, 1)","(3, 7, 36, 3, 0, 0)","(2, 8, 42, 3, 0, 2)",,,,
1,3,3,1,0,3,3,3,4,3,4,3,,,,
2,8.153184997648793,19.004329463881234,-7.619004487819177,-0.8353197202299898,16.310832047595238,15.952849773480823,7.731145832081015,12.151088508585378,25.24312665804706,24.499261696520676,21.226749156531334,,,,
0,"(7, 0, 48, 3, 0, 1)","(4, 1, 35, 2, 0, 0)","(9, 5, 35, 3, 0, 0)","(4, 7, 43, 3, 1, 0)","(9, 8, 41, 3, 0, 0)","(8, 9, 49, 3, 0, 1)","(9, 10, 25, 1, 1, 0)",,,,,,,,
1,3,1,2,2,4,1,4,,,,,,,,
2,8.380180316757396,-10.732273840483426,31.63458643961733,-8.023816105252072,23.52379398286169,12.366330703802076,34.59516360811579,,,,,,,,
0,"(6, 0, 35, 3, 0, 0)","(9, 3, 38, 2, 0, 0)","(8, 4, 17, 3, 1, 0)","(7, 5, 77, 3, 1, 0)","(6, 6, 10, 1, 0, 0)","(5, 7, 37, 3, 0, 1)","(9, 9, 42, 3, 1, 1)",,,,,,,,
1,0,4,2,1,3,1,3,,,,,,,,
2,-0.5862846532057038,32.52412011040924,7.752791623002345,21.33939583559913,57.35943543722827,-1.754731456775927,15.150070469269714,,,,,,,,
0,"(6, 1, 57, 2, 0, 0)","(9, 2, 77, 3, 1, 0)","(4, 5, 14, 3, 0, 0)","(8, 7, 58, 3, 0, 0)","(9, 8, 53, 3, 0, 0)","(9, 9, 17, 3, 0, 2)","(9, 10, 73, 3, 0, 2)","(8, 10, 71, 3, 0, 1)",,,,,,,
1,2,3,2,2,2,2,4,0,,,,,,,
2,19.91662359468274,26.02980243106653,31.640634175123914,15.724222868685318,13.221358735589028,11.899129457776084,14.120880892193401,3.371587530214408,,,,,,,
