,0
81,"{'vehicle_id': 70, 'time_send': 145.93566122436718, 'time_enter': 153.07684131437887, 'time_start': 153.07684131437887, 'SOC_end': 100.0, 'SOC_send': 45.98204475872792, 'lat': 52.50867270324294, 'long': 13.44235315427797, 'v_hex': '871f1d4d6ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 77, 'CS_position': 73, 'distance': 2.5705900450058436}"
82,"{'vehicle_id': 165, 'time_send': 102.21208601011716, 'time_enter': 107.66178516027524, 'time_start': 126.48869768190058, 'SOC_end': 100.0, 'SOC_send': 61.73884531948507, 'lat': 52.50105304231467, 'long': 13.43542497741682, 'v_hex': '871f1d4d6ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 77, 'CS_position': 73, 'distance': 1.724849575079038}"
83,"{'vehicle_id': 51, 'time_send': 122.4581691468134, 'time_enter': 130.6910018438115, 'time_start': 130.6910018438115, 'SOC_end': 100.0, 'SOC_send': 93.50836617063732, 'lat': 52.54785840274068, 'long': 13.200334654677995, 'v_hex': '871f1d4b0ffffff', 'CS_location': [52.53090638564868, 13.213166795881953], 'v_position': 62, 'CS_position': 65, 'distance': 3.1164163484990555}"
84,"{'vehicle_id': 55, 'time_send': 158.88239532302788, 'time_enter': 168.7912598791867, 'time_start': 168.7912598791867, 'SOC_end': 100.0, 'SOC_send': 96.22352093539442, 'lat': 52.49465254637751, 'long': 13.358849649502929, 'v_hex': '871f1d48affffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 41, 'CS_position': 18, 'distance': 3.9544322780794037}"
85,"{'vehicle_id': 259, 'time_send': 90.17311060702197, 'time_enter': 93.47327178656042, 'time_start': 93.47327178656042, 'SOC_end': 100.0, 'SOC_send': 66.9653778785956, 'lat': 52.533725298361354, 'long': 13.217573571453482, 'v_hex': '871f1d4b3ffffff', 'CS_location': [52.53090638564868, 13.213166795881953], 'v_position': 65, 'CS_position': 65, 'distance': 0.6500805897692261}"
86,"{'vehicle_id': 11, 'time_send': 100.55589507165682, 'time_enter': 106.97166156579264, 'time_start': 106.97166156579264, 'SOC_end': 81.73827083513976, 'SOC_send': 61.343633374757566, 'lat': 52.48916597255176, 'long': 13.276808176974107, 'v_hex': '871f1d49effffff', 'CS_location': [52.50097209442047, 13.286581684197895], 'v_position': 54, 'CS_position': 52, 'distance': 2.2078832470679135}"
87,"{'vehicle_id': 281, 'time_send': 151.08667232836996, 'time_enter': 159.50038859899448, 'time_start': 159.50038859899448, 'SOC_end': 100.0, 'SOC_send': 54.94319694435761, 'lat': 52.48763122166044, 'long': 13.344278625367082, 'v_hex': '871f1d499ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 49, 'CS_position': 18, 'distance': 3.2068581353122623}"
88,"{'vehicle_id': 35, 'time_send': 185.60160462361335, 'time_enter': 193.18885029879408, 'time_start': 193.18885029879408, 'SOC_end': 100.0, 'SOC_send': 96.84885607887868, 'lat': 52.477362338378136, 'long': 13.440035044943505, 'v_hex': '871f18b21ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 13, 'CS_position': 73, 'distance': 2.793622837590365}"
89,"{'vehicle_id': 81, 'time_send': 172.87864293174192, 'time_enter': 181.2180257890915, 'time_start': 181.2180257890915, 'SOC_end': 100.0, 'SOC_send': 59.28758490468069, 'lat': 52.48984851466404, 'long': 13.356574870107893, 'v_hex': '871f1d499ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 49, 'CS_position': 18, 'distance': 3.1696914286747937}"
90,"{'vehicle_id': 88, 'time_send': 209.22938450969156, 'time_enter': 215.0013875182106, 'time_start': 215.0013875182106, 'SOC_end': 100.0, 'SOC_send': 94.73749504977356, 'lat': 52.465393161020614, 'long': 13.376039683137433, 'v_hex': '871f18b22ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 14, 'CS_position': 18, 'distance': 1.8860015042595188}"
91,"{'vehicle_id': 142, 'time_send': 165.42762094010328, 'time_enter': 174.53267578780515, 'time_start': 174.53267578780515, 'SOC_end': 100.0, 'SOC_send': 64.59563979674837, 'lat': 52.47393061347872, 'long': 13.325435288558502, 'v_hex': '871f1d49bffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 51, 'CS_position': 18, 'distance': 3.552527423850938}"
92,"{'vehicle_id': 154, 'time_send': 134.6692944899848, 'time_enter': 144.1551948249454, 'time_start': 144.1551948249454, 'SOC_end': 100.0, 'SOC_send': 61.54851226140909, 'lat': 52.46421573022855, 'long': 13.324937976599598, 'v_hex': '871f1d49bffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 51, 'CS_position': 18, 'distance': 3.7429501674803074}"
