,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,4,4,3,0,4,0,3,,,,,,,,
2,-15.982360426460987,-0.0,-0.0,-0.0,-1.2854665650484485,-0.0,14.569144110215584,33.12892096584113,,,,,,,,
0,"(7, 1, 27, 3, 0, 0)","(6, 1, 40, 3, 0, 1)","(9, 3, 77, 3, 0, 0)","(9, 4, 77, 3, 0, 0)","(9, 5, 77, 3, 1, 0)","(9, 6, 77, 3, 0, 0)","(9, 7, 77, 3, 1, 0)","(4, 9, 13, 3, 0, 2)","(9, 10, 72, 3, 0, 0)",,,,,,,
1,1,2,1,4,4,1,2,2,4,,,,,,,
2,26.891271889078688,-6.118048840610587,-0.0,-0.0,-0.0,-0.0,20.293285689372603,-4.739620672230059,27.33585953688098,,,,,,,
0,"(6, 1, 59, 3, 0, 0)","(6, 2, 53, 3, 0, 1)","(9, 4, 36, 3, 1, 0)","(9, 5, 62, 1, 0, 0)","(8, 5, 62, 1, 0, 0)",,,,,,,,,,,
1,3,0,0,4,3,,,,,,,,,,,
2,22.992541147666223,-2.655784417734975,19.11351613436541,5.0,17.24609520657434,,,,,,,,,,,
0,"(7, 1, 22, 3, 0, 0)","(6, 2, 57, 3, 0, 0)","(9, 3, 59, 3, 0, 0)","(9, 4, 59, 3, 0, 0)","(9, 5, 59, 3, 0, 0)","(9, 6, 59, 3, 0, 0)","(9, 7, 59, 3, 0, 0)","(9, 8, 59, 3, 0, 0)","(9, 8, 64, 2, 0, 0)",,,,,,,
1,3,2,4,3,0,4,3,3,3,,,,,,,
2,36.1708753447508,-8.920743171143286,-0.0,-0.0,-1.2855332317151136,-0.0,-0.0,15.51779769611884,14.073218861419186,,,,,,,
0,"(7, 1, 55, 3, 0, 0)","(7, 2, 55, 1, 0, 0)","(6, 3, 53, 3, 1, 0)","(9, 4, 45, 3, 1, 0)","(9, 5, 45, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 7, 48, 3, 0, 1)","(4, 9, 48, 3, 0, 2)","(9, 11, 43, 3, 0, 1)",,,,,,,
1,4,1,0,1,4,0,3,2,0,,,,,,,
2,-0.0,20.27191691649794,-7.614100926582516,-0.0,-0.0,3.368854645970327,17.433481503019852,6.371056735249134,19.104643404406733,,,,,,,
0,"(6, 0, 53, 3, 0, 0)","(9, 1, 77, 3, 0, 0)","(9, 2, 73, 3, 0, 1)","(9, 3, 77, 3, 1, 0)","(9, 4, 77, 3, 0, 0)","(9, 5, 77, 3, 0, 0)","(9, 5, 77, 3, 0, 1)","(4, 9, 11, 2, 0, 1)","(9, 10, 16, 3, 0, 0)",,,,,,,
1,0,2,1,4,4,3,3,2,0,,,,,,,
2,10.66566688342467,6.429067556102156,-1.3244842110381638,-0.0,-0.0,10.743790030278845,40.08359796400296,-11.063630830662953,7.412704332340879,,,,,,,
