,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
124,"(2, 59)","[52.55552862002592, 13.328599768764512]","[52.57093901757137, 13.360312078130237]",59,finished,57,[45.56867417],49.43517833858445,[3.86650417]
125,"(2, 7)","[52.43845556104262, 13.395394161945696]","[52.515709549780645, 13.375142421255651]",7,finished,42,[25.94295055],31.6001510824278,[5.65720053]
126,"(2, 86)","[52.554828505750834, 13.446352153900142]","[52.55499980407829, 13.412569737221672]",86,finished,88,[42.84331028],50.84995097309767,[8.00664069]
127,"(3, 12)","[52.463326591601714, 13.381039656138118]","[52.50149930085664, 13.397383064616339]",12,finished,17,[37.08208448],44.7383191499362,[7.65623467]
128,"(8, 73)","[52.491189766119085, 13.443213343656707]","[52.506168150220475, 13.459527919800257]",73,finished,71,[38.63623307],52.05434687360112,[13.4181138]
129,"(4, 40)","[52.536666245577166, 13.401169055693616]","[52.53176893306976, 13.351529007285382]",40,finished,45,[43.59958014],48.33017859884144,[4.73059846]
130,"(6, 49)","[52.491580631440826, 13.32505852928263]","[52.48048735349518, 13.369874576180857]",49,finished,16,[42.80816532],48.769264638099536,[5.96109932]
131,"(1, 81)","[52.51016331485291, 13.560948770152754]","[52.39109394862553, 13.539192226759411]",81,finished,10,[6.57078619],18.69088400338519,[12.12009782]
132,"(5, 49)","[52.49587435709092, 13.347368073760359]","[52.534387694696846, 13.380436892371199]",49,finished,39,[37.29431758],44.31594068243234,[7.0216231]
133,"(1, 22)","[52.47825118343572, 13.491320496108285]","[52.48888705190488, 13.355021228869887]",22,finished,49,[24.12778468],31.043142993288594,[6.91535831]
134,"(2, 17)","[52.49871482238483, 13.414395623176285]","[52.47832668747175, 13.3857046875632]",17,finished,16,[38.24990818],51.08950229767441,[12.83959412]
135,"(5, 53)","[52.507932563613274, 13.32773781818032]","[52.46354038120149, 13.310282851946042]",53,finished,51,[38.0831132],44.84866241026281,[6.76554921]
136,"(9, 71)","[52.50220907569565, 13.47171859982297]","[52.5069007237543, 13.421401692190923]",71,finished,77,[38.89147409],50.82751938746314,[11.9360453]
137,"(3, 44)","[52.5401637449038, 13.384112253405048]","[52.555134950841676, 13.409197908608999]",44,finished,88,[45.38858792],54.06718296049104,[8.67859504]
138,"(5, 40)","[52.53186107128042, 13.402677236155165]","[52.5084160209996, 13.386128257631816]",40,finished,42,[49.54923842],52.908660157017,[3.35942174]
139,"(1, 26)","[52.44755673747724, 13.322514659703435]","[52.50838135215993, 13.326555135080028]",26,finished,53,[32.30702098],41.226004167314876,[8.91898319]
140,"(2, 44)","[52.550925468240244, 13.39506125886444]","[52.515886751330626, 13.395022250589458]",44,finished,40,[41.7627231],49.920645840840194,[8.15792274]
141,"(1, 27)","[52.45375353133736, 13.32656867277322]","[52.51390209713276, 13.425182120092156]",27,finished,77,[22.61598085],33.24175820915036,[10.62577735]
142,"(6, 85)","[52.55179566198284, 13.411546411660115]","[52.552027269881485, 13.403313002137153]",85,finished,88,[55.48046557],60.67464540568534,[5.19417984]
143,"(4, 37)","[52.56494425471549, 13.298612250247334]","[52.5235236456417, 13.452473822241016]",37,finished,75,[20.86678038],28.141443107964633,[7.27466273]
