,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,"(7, 1, 58, 2, 0, 0)","(6, 2, 53, 3, 0, 0)","(8, 5, 43, 3, 0, 0)","(9, 5, 53, 2, 0, 0)","(9, 6, 17, 3, 1, 1)","(8, 7, 71, 3, 1, 1)","(9, 8, 76, 3, 0, 1)","(8, 9, 24, 2, 0, 0)","(9, 10, 50, 3, 0, 1)","(8, 11, 41, 3, 0, 2)",,,,,,,
1,1,1,0,1,2,1,2,2,4,4,,,,,,,
2,24.640559745403927,27.428470612894436,0.1753688522391279,18.425009348958028,4.255566119290444,-3.067082422170154,31.940944681363348,13.85729780379575,20.288660899449827,14.54972786827867,,,,,,,
0,"(7, 1, 28, 3, 0, 0)","(7, 2, 28, 3, 1, 0)","(9, 4, 37, 3, 0, 0)","(9, 5, 85, 3, 0, 0)","(9, 6, 16, 3, 1, 0)","(9, 7, 58, 3, 0, 1)","(8, 7, 40, 3, 0, 0)","(9, 8, 59, 3, 0, 1)","(9, 8, 43, 3, 0, 1)","(4, 9, 17, 3, 1, 2)","(9, 10, 71, 3, 0, 0)",,,,,,
1,1,0,1,2,1,4,0,2,3,1,1,,,,,,
2,-0.0,18.61610167068336,9.31722034465713,9.641521273361889,22.551710632474087,15.067152277451218,14.19699889164522,5.568170926997753,24.009194589896804,-6.7207899710554075,7.776176926779645,,,,,,
0,"(7, 1, 28, 3, 0, 0)","(7, 2, 28, 3, 1, 0)","(7, 3, 28, 3, 0, 0)","(6, 4, 17, 3, 0, 0)","(8, 6, 17, 3, 1, 1)","(8, 6, 12, 3, 0, 1)","(9, 8, 17, 3, 0, 0)","(9, 8, 39, 3, 0, 1)","(4, 10, 7, 2, 0, 0)",,,,,,,,
1,1,3,1,0,4,0,2,3,2,,,,,,,,
2,-0.0,-0.0,28.846104537254476,29.07626506306712,6.94555327049978,12.549619537124084,8.979099656623873,39.84097519180874,-3.04440798766322,,,,,,,,
0,"(7, 0, 85, 2, 0, 0)","(4, 1, 44, 3, 0, 1)","(4, 1, 41, 3, 1, 1)","(4, 1, 41, 3, 0, 0)","(4, 2, 41, 3, 1, 0)","(3, 2, 72, 3, 0, 0)","(2, 3, 85, 3, 0, 0)","(2, 4, 83, 1, 1, 0)","(2, 5, 83, 1, 0, 0)","(2, 6, 83, 1, 0, 0)","(2, 7, 83, 1, 0, 0)",,,,,,
1,3,3,3,3,2,3,4,3,2,2,0,,,,,,
2,16.469028660926746,5.3990922641723245,10.186700431247862,-0.0,27.081197784616112,31.606358908921386,13.603101920001691,-0.0,-0.0,-0.0,2.5825320906901794,,,,,,
0,"(7, 1, 30, 3, 0, 0)","(6, 1, 11, 3, 0, 0)","(9, 2, 17, 3, 0, 0)","(9, 3, 77, 3, 0, 0)","(9, 4, 42, 3, 0, 0)","(4, 10, 44, 3, 1, 2)","(3, 10, 85, 3, 0, 1)","(3, 11, 44, 3, 0, 1)",,,,,,,,,
1,4,2,0,1,2,3,4,1,,,,,,,,,
2,6.2513821688501805,-10.460146787915283,5.613113215169507,-2.7158890728062874,24.921633929463923,21.50931907605696,10.329742028739739,8.304998079771082,,,,,,,,,
0,"(6, 0, 36, 3, 0, 1)","(9, 1, 41, 3, 0, 1)","(4, 5, 42, 3, 1, 0)","(4, 6, 42, 3, 1, 0)","(9, 9, 53, 3, 0, 1)","(9, 9, 45, 3, 0, 1)","(9, 10, 40, 3, 1, 2)",,,,,,,,,,
1,2,3,3,0,2,0,0,,,,,,,,,,
2,3.411219692962563,4.167188120636354,-0.0,5.459951209495121,4.963754250991686,14.136606476485543,14.458672582142794,,,,,,,,,,
0,"(7, 1, 58, 2, 0, 0)","(7, 2, 58, 3, 1, 0)","(7, 2, 57, 2, 1, 1)","(9, 3, 39, 3, 0, 0)","(4, 4, 53, 3, 0, 0)","(4, 5, 53, 3, 0, 0)","(4, 5, 60, 3, 0, 0)","(7, 7, 39, 3, 1, 0)","(9, 8, 53, 3, 0, 0)","(9, 9, 73, 3, 1, 2)","(9, 9, 41, 3, 0, 1)","(8, 10, 51, 3, 0, 2)",,,,,
1,1,3,2,3,3,2,1,2,2,0,1,4,,,,,
2,-0.0,5.302013242422852,11.994921220639919,14.928458895357714,-0.0,21.603942748044517,4.388771751527955,5.750975899468319,22.76289932172326,15.759529578187426,14.638277629440624,24.48826844726345,,,,,
0,"(6, 0, 69, 3, 0, 0)","(6, 1, 88, 3, 0, 0)","(8, 4, 18, 3, 0, 0)","(9, 5, 14, 3, 0, 0)","(9, 5, 25, 1, 0, 0)","(9, 6, 53, 3, 0, 0)","(9, 7, 16, 3, 1, 0)","(9, 8, 15, 3, 0, 0)","(9, 9, 27, 3, 0, 1)",,,,,,,,
